transaction_id,date,description,merchant,amount,currency,balance,account_id,label_category
TX-1000,2025-01-01,ACME BANK SALARY Jan,ACME BANK SALARY,3200.0,EUR,7400.0,CHK-001,Salary
TX-1001,2025-01-03,LANDLORD RENT Jan,LANDLORD RENT,-1200.0,EUR,6200.0,CHK-001,Rent
TX-1016,2025-01-05,SUSHI BAR card payment,SUSHI BAR,-31.36,EUR,5391.74,CHK-001,Dining
TX-1009,2025-01-05,APOTHEKE card payment,APOTHEKE,-53.86,EUR,5918.08,CHK-001,Healthcare
TX-1020,2025-01-06,ALDI card payment,ALDI,-35.47,EUR,5054.9,CHK-001,Groceries
TX-1019,2025-01-06,COFFEE SHOP card payment,COFFEE SHOP,-57.69,EUR,5090.37,CHK-001,Dining
TX-1002,2025-01-07,NETFLIX recurring payment,NETFLIX,-15.99,EUR,6184.01,CHK-001,Entertainment
TX-1015,2025-01-07,BURGER HOUSE card payment,BURGER HOUSE,-64.06,EUR,5423.1,CHK-001,Dining
TX-1003,2025-01-08,SPOTIFY recurring payment,SPOTIFY,-10.99,EUR,6173.02,CHK-001,Entertainment
TX-1013,2025-01-09,BURGER HOUSE card payment,BURGER HOUSE,-21.44,EUR,5666.03,CHK-001,Dining
TX-1022,2025-01-10,BURGER HOUSE card payment,BURGER HOUSE,-46.31,EUR,4957.86,CHK-001,Dining
TX-1014,2025-01-10,ZARA card payment,ZARA,-178.87,EUR,5487.16,CHK-001,Shopping
TX-1024,2025-01-11,ALDI card payment,ALDI,-53.87,EUR,4893.94,CHK-001,Groceries
TX-1007,2025-01-11,REWE card payment,REWE,-37.9,EUR,5995.23,CHK-001,Groceries
TX-1004,2025-01-12,VODAFONE recurring payment,VODAFONE,-39.99,EUR,6133.03,CHK-001,Utilities
TX-1005,2025-01-15,MAINOVA recurring payment,MAINOVA,-92.0,EUR,6041.03,CHK-001,Utilities
TX-1017,2025-01-16,MEDIA MARKT card payment,MEDIA MARKT,-212.54,EUR,5179.2,CHK-001,Shopping
TX-1021,2025-01-18,DB BAHN card payment,DB BAHN,-50.73,EUR,5004.17,CHK-001,Transport
TX-1010,2025-01-20,REWE card payment,REWE,-78.16,EUR,5839.92,CHK-001,Groceries
TX-1012,2025-01-22,DOCTOR CLINIC card payment,DOCTOR CLINIC,-95.31,EUR,5687.47,CHK-001,Healthcare
TX-1018,2025-01-23,LIDL card payment,LIDL,-31.14,EUR,5148.06,CHK-001,Groceries
TX-1023,2025-01-24,COFFEE SHOP card payment,COFFEE SHOP,-10.05,EUR,4947.81,CHK-001,Dining
TX-1008,2025-01-25,RMV card payment,RMV,-23.29,EUR,5971.94,CHK-001,Transport
TX-1011,2025-01-26,APOTHEKE card payment,APOTHEKE,-57.14,EUR,5782.78,CHK-001,Healthcare
TX-1006,2025-01-28,MONTHLY ACCOUNT FEE recurring payment,MONTHLY ACCOUNT FEE,-7.9,EUR,6033.13,CHK-001,Bank Fees
TX-1025,2025-02-01,ACME BANK SALARY Feb,ACME BANK SALARY,3200.0,EUR,8093.94,CHK-001,Salary
TX-1026,2025-02-03,LANDLORD RENT Feb,LANDLORD RENT,-1200.0,EUR,6893.94,CHK-001,Rent
TX-1033,2025-02-05,APOTHEKE card payment,APOTHEKE,-43.32,EUR,6632.97,CHK-001,Healthcare
TX-1040,2025-02-05,DOCTOR CLINIC card payment,DOCTOR CLINIC,-109.82,EUR,6123.07,CHK-001,Healthcare
TX-1027,2025-02-07,NETFLIX recurring payment,NETFLIX,-15.99,EUR,6877.95,CHK-001,Entertainment
TX-1028,2025-02-08,SPOTIFY recurring payment,SPOTIFY,-10.99,EUR,6866.96,CHK-001,Entertainment
TX-1039,2025-02-08,DOCTOR CLINIC card payment,DOCTOR CLINIC,-79.46,EUR,6232.89,CHK-001,Healthcare
TX-1049,2025-02-09,APOTHEKE card payment,APOTHEKE,-102.88,EUR,5404.4,CHK-001,Healthcare
TX-1037,2025-02-11,AMAZON card payment,AMAZON,-181.73,EUR,6348.68,CHK-001,Shopping
TX-1029,2025-02-12,VODAFONE recurring payment,VODAFONE,-39.99,EUR,6826.97,CHK-001,Utilities
TX-1045,2025-02-13,COFFEE SHOP card payment,COFFEE SHOP,-48.23,EUR,5698.88,CHK-001,Dining
TX-1030,2025-02-15,MAINOVA recurring payment,MAINOVA,-92.0,EUR,6734.97,CHK-001,Utilities
TX-1034,2025-02-16,DB BAHN card payment,DB BAHN,-18.01,EUR,6614.96,CHK-001,Transport
TX-1042,2025-02-16,MEDIA MARKT card payment,MEDIA MARKT,-226.02,EUR,5850.36,CHK-001,Shopping
TX-1036,2025-02-16,BURGER HOUSE card payment,BURGER HOUSE,-28.05,EUR,6530.41,CHK-001,Dining
TX-1038,2025-02-17,DOCTOR CLINIC card payment,DOCTOR CLINIC,-36.33,EUR,6312.35,CHK-001,Healthcare
TX-1047,2025-02-20,COFFEE SHOP card payment,COFFEE SHOP,-21.23,EUR,5537.47,CHK-001,Dining
TX-1048,2025-02-20,LIDL card payment,LIDL,-30.19,EUR,5507.28,CHK-001,Groceries
TX-1043,2025-02-21,DOCTOR CLINIC card payment,DOCTOR CLINIC,-60.74,EUR,5789.62,CHK-001,Healthcare
TX-1044,2025-02-21,REWE card payment,REWE,-42.51,EUR,5747.11,CHK-001,Groceries
TX-1035,2025-02-22,BURGER HOUSE card payment,BURGER HOUSE,-56.5,EUR,6558.46,CHK-001,Dining
TX-1032,2025-02-24,Lime card payment,Lime,-50.78,EUR,6676.29,CHK-001,Transport
TX-1041,2025-02-25,ALDI card payment,ALDI,-46.69,EUR,6076.38,CHK-001,Groceries
TX-1046,2025-02-27,AMAZON card payment,AMAZON,-140.18,EUR,5558.7,CHK-001,Shopping
TX-1031,2025-02-28,MONTHLY ACCOUNT FEE recurring payment,MONTHLY ACCOUNT FEE,-7.9,EUR,6727.07,CHK-001,Bank Fees
TX-1050,2025-03-01,ACME BANK SALARY Mar,ACME BANK SALARY,3200.0,EUR,8604.4,CHK-001,Salary
TX-1051,2025-03-03,LANDLORD RENT Mar,LANDLORD RENT,-1200.0,EUR,7404.4,CHK-001,Rent
TX-1067,2025-03-04,ALDI card payment,ALDI,-49.69,EUR,6640.4,CHK-001,Groceries
